Chapter;patch_width;patch_height;ignore_pages;comment
1;200;280;;
2;200;280;;
3;200;280;;
4;200;280;;
5;200;280;;
15;200;280;;
16;200;280;;
17;200;280;;
18;200;280;;
19;200;280;;
20;200;280;27,28,29;Ad, blank or black page
21;200;280;;
22;200;280;;
23;200;280;;
24;200;280;;
25;200;280;;
26;200;280;all;Chapter is not randomized.
27;200;280;;
28;200;280;;
29;200;280;;
30;200;280;;
31;200;280;;
32;200;280;;
33;200;280;;
34;200;280;;
35;200;280;;
36;200;280;;
37;200;280;;
38;200;280;;
39;200;280;;
40;200;280;;
41;200;280;;
42;200;280;46;Ad, blank or black page
43;200;280;;
44;200;280;;
45;200;280;;
46;200;280;;
47;200;280;;
48;200;280;;
49;200;280;;
50;200;280;;
51;200;280;;
52;200;280;;
53;200;280;;
54;200;280;;
55;200;280;;
56;200;280;;
57;200;280;;
58;200;280;;
59;200;280;;
60;200;280;;
61;200;280;;
62;200;280;;
63;200;280;;
64;200;280;;
65;200;280;;
66;200;280;;
67;200;280;;
68;200;280;;
69;200;280;;
70;200;280;;
71;200;280;2;Ad, blank or black page
72;200;280;;
73;200;280;;
74;200;280;;
75;200;280;;
76;200;280;;
77;200;280;;
78;200;280;;
79;200;280;;
80;200;280;15,16,17;Ad, blank or black page
81;200;280;7,8,9;Ad, blank or black page
82;200;280;;
83;200;280;all;Chapter is not randomized.
84;200;280;;
85;200;280;;
86;200;280;;
87;200;280;9;Ad, blank or black page
88;200;280;13;Ad, blank or black page
89;200;280;;
90;200;280;28;Ad, blank or black page
91;200;280;;
92;200;280;;
93;200;280;;
94;200;280;all;Chapter is not randomized.
95;200;312;;
96;200;312;1;Ad, blank or black page
97;200;312;;
98;200;312;;
99;200;312;;
100;200;312;;
101;200;312;;
102;200;312;;
103;200;312;;
104;200;312;;
105;200;312;;
106;200;312;;
107;200;312;;
108;200;312;2;Ad, blank or black page
109;200;312;;
110;200;312;;
111;200;312;;
112;200;312;;
113;200;312;;
114;200;312;;
115;200;312;2;Ad, blank or black page
116;200;312;;
117;200;312;;
118;200;312;;
119;200;312;;
120;200;312;;
121;200;312;;
122;200;312;;
123;200;312;;
124;200;312;;
125;200;312;;
126;200;280;;
127;200;280;;
128;200;280;;
129;200;280;;
130;200;280;;
131;200;280;;
132;200;280;;
133;200;280;;
134;200;280;;
135;200;280;;
136;200;280;;
137;200;280;;
138;200;280;;
139;200;280;;
140;200;280;;
141;200;280;;
142;200;280;;
143;200;280;;
144;200;280;;
145;200;280;;
146;200;280;;
147;200;280;;
148;200;280;;
149;200;280;;
150;200;280;;
151;200;280;;
152;200;280;;
153;200;280;;
154;200;280;;
155;200;280;;
156;200;280;;
157;200;280;;
158;200;280;;
159;200;280;;
160;200;280;;
161;200;280;;
162;200;280;;
163;200;280;;
164;200;280;;
165;200;280;;
166;200;280;;
167;200;280;;
168;200;280;;
169;200;280;;
170;200;280;;
171;200;280;;
172;200;280;;
173;200;280;;
174;200;280;;
175;200;280;;
176;200;280;;
177;200;280;;
178;200;280;;
179;200;280;;
180;200;280;;
181;200;280;;
182;200;280;;
183;200;280;;
184;200;280;;
185;200;280;;
186;200;280;;
187;200;280;;
188;200;280;;
189;200;280;;
190;200;280;;
191;200;280;;
192;200;280;;
193;200;280;;
194;200;280;;
195;200;312;;
196;200;280;;
197;200;280;;
198;200;280;;
199;200;280;;
200;200;280;;
201;200;280;;
202;200;280;;
203;200;280;;
204;200;280;;
205;200;280;;
206;200;280;;
207;200;280;;
208;200;280;;
209;200;280;;
210;200;280;all;Chapter is not randomized.
211;200;280;34;Ad, blank or black page
212;200;280;;
213;200;280;;
214;200;280;;
215;200;280;22;Ad, blank or black page
216;200;280;;
217;200;280;;
218;200;280;;
219;200;280;;
220;200;280;;
221;200;280;;
222;200;280;;
223;200;280;;
224;200;280;;
